xflr5 v6.47

 Calculated polar for: NACA 4812

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.030     Re =     0.119 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.3172, 0.02502, 0.01625,-0.1008,1.0000,0.1392,-2.3510, 0.0000,-0.0783
 -4.500,-0.2533, 0.02404, 0.01531,-0.1033,1.0000,0.1726,-2.0758, 0.0000,-0.1696
 -4.000,-0.1883, 0.02336, 0.01490,-0.1062,1.0000,0.2210,-1.8151, 0.0000,-0.3278
 -3.500,-0.1231, 0.02301, 0.01481,-0.1092,1.0000,0.2872,-1.5611, 0.0000,-0.6548
 -3.000,-0.0603, 0.02299, 0.01503,-0.1114,1.0000,0.3606,-1.3328, 0.0000,-1.6275
 -2.500,-0.0011, 0.02319, 0.01550,-0.1128,1.0000,0.4311,-1.1290, 0.0000,-99.7480
 -2.000, 0.0545, 0.02359, 0.01612,-0.1132,1.0000,0.4979,-0.9505, 0.0000, 2.3488
 -1.500, 0.1062, 0.02417, 0.01694,-0.1128,1.0000,0.5586,-0.7968, 0.0000, 1.3200
 -1.000, 0.1531, 0.02497, 0.01795,-0.1114,1.0000,0.6138,-0.6672, 0.0000, 0.9814
 -0.500, 0.1935, 0.02603, 0.01923,-0.1089,1.0000,0.6612,-0.5618, 0.0000, 0.8143
  0.000, 0.2281, 0.02742, 0.02079,-0.1058,1.0000,0.7031,-0.4749, 0.0000, 0.7134
  0.500, 0.3063, 0.02912, 0.02259,-0.1100,0.9824,0.7462,-0.4984, 0.0000, 0.6077
  1.000, 0.3831, 0.02987, 0.02342,-0.1135,0.9581,0.7852,-0.5569, 0.0000, 0.5439
  1.500, 0.4573, 0.02981, 0.02345,-0.1164,0.9368,0.8231,-0.6223, 0.0000, 0.5014
  2.000, 0.5279, 0.02895, 0.02269,-0.1183,0.9153,0.8604,-0.6970, 0.0000, 0.4706
  2.500, 0.5936, 0.02738, 0.02125,-0.1191,0.8925,0.8981,-0.7867, 0.0000, 0.4466
  3.000, 0.6506, 0.02514, 0.01919,-0.1178,0.8671,0.9404,-0.8934, 0.0000, 0.4264
  3.500, 0.7093, 0.02292, 0.01713,-0.1171,0.8323,1.0000,-1.0275, 0.0000, 0.4101
  4.000, 0.7953, 0.02082, 0.01519,-0.1213,0.8032,1.0000,-1.2331, 0.0000, 0.3970
  4.500, 0.9025, 0.01790, 0.01233,-0.1282,0.7634,1.0000,-1.5184, 0.0000, 0.3862
  5.000, 1.0366, 0.01613, 0.01019,-0.1412,0.6690,1.0000,-1.9117, 0.0000, 0.3798
  5.500, 1.1003, 0.01711, 0.01070,-0.1422,0.5691,1.0000,-2.1907, 0.0000, 0.3723
  6.000, 1.1392, 0.01848, 0.01167,-0.1388,0.4751,1.0000,-2.4295, 0.0000, 0.3643
  6.500, 1.1695, 0.02017, 0.01288,-0.1341,0.3767,1.0000,-2.6577, 0.0000, 0.3565
  7.000, 1.1943, 0.02240, 0.01450,-0.1289,0.2709,1.0000,-2.8829, 0.0000, 0.3491
  7.500, 1.2190, 0.02517, 0.01663,-0.1240,0.1865,1.0000,-3.1002, 0.0000, 0.3422
  8.000, 1.2486, 0.02798, 0.01907,-0.1200,0.1410,1.0000,-3.3286, 0.0000, 0.3360
  8.500, 1.2843, 0.03072, 0.02160,-0.1170,0.1148,1.0000,-3.5944, 0.0000, 0.3303
  9.000, 1.3270, 0.03352, 0.02434,-0.1151,0.0971,1.0000,-3.8798, 0.0000, 0.3253
  9.500, 1.3796, 0.03664, 0.02735,-0.1151,0.0843,1.0000,-4.1956, 0.0000, 0.3213
 10.000, 1.4293, 0.03995, 0.03088,-0.1144,0.0745,1.0000,-4.5212, 0.0000, 0.3172
 10.500, 1.4815, 0.04412, 0.03535,-0.1142,0.0677,1.0000,-4.8477, 0.0000, 0.3135
 11.000, 1.5167, 0.04846, 0.04007,-0.1115,0.0625,1.0000,-5.1218, 0.0000, 0.3093
 11.500, 1.5512, 0.05314, 0.04504,-0.1090,0.0587,1.0000,-5.3952, 0.0000, 0.3053
 12.000, 1.5475, 0.05913, 0.05178,-0.1008,0.0572,1.0000,-5.4700, 0.0000, 0.2995
 12.500, 1.5177, 0.06536, 0.05881,-0.0901,0.0563,1.0000,-5.4594, 0.0000, 0.2930
 13.000, 1.4786, 0.07250, 0.06664,-0.0808,0.0556,1.0000,-5.4157, 0.0000, 0.2875
 13.500, 1.4296, 0.08115, 0.07590,-0.0738,0.0553,1.0000,-5.3162, 0.0000, 0.2837
 14.000, 1.3677, 0.09255, 0.08791,-0.0710,0.0559,1.0000,-5.1240, 0.0000, 0.2831
 14.500, 1.3040, 0.10721, 0.10306,-0.0751,0.0569,1.0000,-4.8746, 0.0000, 0.2878
 15.000, 1.2520, 0.12412, 0.12028,-0.0842,0.0578,1.0000,-4.6210, 0.0000, 0.2966


